timestamp,instrument,sector,mode,provider,model,temperature,execution_time,overall_score,grade,structure,data_richness,sophistication,actionability,sentiment_balance
2026-05-23T20:41:34.444972,AAPL,Technology,sequential,openai,gpt-4.1,0.5,97.23,84.47,B,80.0,100,74.1,100.0,46.4
2026-05-23T20:43:52.787978,AAPL,Technology,sequential,openai,gpt-4.1,0.2,78.48,81.57,B,80.0,98.5,74.7,85.0,50.0
2026-05-23T20:45:22.407017,AAPL,Technology,sequential,openai,gpt-4.1,0.2,73.4,82.94,B,80.0,100,76.3,85.0,56.8
2026-05-23T20:46:46.620429,AAPL,Technology,sequential,openai,gpt-4.1,0.2,67.29,84.05,B,78.7,100,78.3,100.0,37.2
2026-05-23T20:48:04.961115,AAPL,Technology,sequential,openai,gpt-4.1,0.2,78.66,84.37,B,80.0,100,73.8,100.0,46.2
2026-05-23T20:49:34.441440,AAPL,Technology,sequential,openai,gpt-4.1,0.2,97.99,84.03,B,80.0,100,72.4,100.0,45.5
2026-05-23T20:51:43.257819,MSFT,Technology,sequential,openai,gpt-4.1,0.2,114.67,85.88,B,80.0,100,76.2,100.0,56.3
2026-05-23T20:53:48.754525,MSFT,Technology,sequential,openai,gpt-4.1,0.2,76.7,87.09,B,100.0,100,69.6,100.0,31.7
2026-05-23T20:55:16.502765,MSFT,Technology,sequential,openai,gpt-4.1,0.2,69.83,85.37,B,80.0,100,71.3,100.0,61.0
2026-05-23T20:56:37.146278,MSFT,Technology,sequential,openai,gpt-4.1,0.2,63.98,90.21,A,100.0,97.0,78.2,100.0,53.1
2026-05-23T20:57:51.940927,MSFT,Technology,sequential,openai,gpt-4.1,0.2,105.87,86.73,B,80.0,100,75.8,100.0,65.6
2026-05-23T21:00:08.614193,JPM,Finance,sequential,openai,gpt-4.1,0.2,83.52,80.61,B,80.0,100,67.7,85.0,50.8
2026-05-23T21:01:42.941250,JPM,Finance,sequential,openai,gpt-4.1,0.2,91.79,87.79,B,100.0,91.5,72.8,100.0,53.5
2026-05-23T21:03:25.521928,JPM,Finance,sequential,openai,gpt-4.1,0.2,76.11,89.89,B,100.0,87.0,79.6,100.0,72.1
2026-05-23T21:04:52.449210,JPM,Finance,sequential,openai,gpt-4.1,0.2,180.81,80.83,B,80.0,100,75.4,70.0,67.6
2026-05-23T21:08:04.077934,JPM,Finance,sequential,openai,gpt-4.1,0.2,116.4,87.41,B,100.0,80.5,79.4,100.0,64.1
2026-05-23T21:10:31.303226,BAC,Finance,sequential,openai,gpt-4.1,0.2,79.01,81.3,B,80.0,100,68.4,85.0,56.2
2026-05-23T21:12:01.132534,BAC,Finance,sequential,openai,gpt-4.1,0.2,79.97,86.13,B,80.0,99.0,74.4,100.0,64.9
2026-05-23T21:13:31.914323,BAC,Finance,sequential,openai,gpt-4.1,0.2,135.09,87.47,B,80.0,100,76.4,100.0,72.0
2026-05-23T21:15:57.814355,BAC,Finance,sequential,openai,gpt-4.1,0.2,85.14,86.23,B,80.0,100,73.2,100.0,65.8
2026-05-23T21:17:34.028065,BAC,Finance,sequential,openai,gpt-4.1,0.2,80.57,85.83,B,80.0,100,70.8,100.0,66.7
2026-05-23T21:19:25.416810,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,69.78,84.98,B,80.0,100,72.0,100.0,55.9
2026-05-23T21:20:46.039645,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,74.71,83.97,B,80.0,100,76.2,100.0,37.3
2026-05-23T21:22:11.828780,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,220.32,90.12,A,100.0,100,76.0,100.0,49.3
2026-05-23T21:26:03.491772,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,71.71,87.92,B,80.0,100,79.9,100.0,69.4
2026-05-23T21:27:26.537762,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,136.62,86.94,B,80.0,100,82.4,100.0,54.5
