timestamp,instrument,sector,mode,provider,model,temperature,execution_time,overall_score,grade,structure,data_richness,sophistication,actionability,sentiment_balance,recommendation,faithfulness_score
2026-05-30T22:03:43.310193,AAPL,Technology,sequential,openai,gpt-4.1,0.2,85.35,79.16,B,70.7,92.0,78.9,85.0,57.1,BUY,1.0
2026-05-30T22:05:57.362491,AAPL,Technology,sequential,openai,gpt-4.1,0.2,83.32,79.19,B,70.7,89.0,81.1,85.0,60.5,BUY,0.9523809523809523
2026-05-30T22:08:09.972527,AAPL,Technology,sequential,openai,gpt-4.1,0.2,77.62,71.13,B,72.0,67.5,81.7,70.0,59.1,BUY,1.0
2026-05-30T22:10:09.888016,AAPL,Technology,sequential,openai,gpt-4.1,0.2,74.7,76.56,B,70.7,100,78.6,70.0,41.7,BUY,1.0
2026-05-30T22:12:10.995786,AAPL,Technology,sequential,openai,gpt-4.1,0.2,71.45,71.41,B,70.7,63.5,82.8,70.0,73.2,BUY,0.9411764705882353
2026-05-30T22:14:43.296689,MSFT,Technology,sequential,openai,gpt-4.1,0.2,75.36,78.88,B,72.0,100,84.8,70.0,49.2,BUY,0.9615384615384616
2026-05-30T22:16:34.497885,MSFT,Technology,sequential,openai,gpt-4.1,0.2,76.67,74.49,B,70.7,75.0,79.5,85.0,51.9,BUY,1.0
2026-05-30T22:18:27.961132,MSFT,Technology,sequential,openai,gpt-4.1,0.2,80.36,81.42,B,70.7,100,76.7,100.0,34.0,BUY,1.0
2026-05-30T22:22:05.776108,MSFT,Technology,sequential,openai,gpt-4.1,0.2,79.97,81.95,B,70.7,100,74.4,100.0,44.0,BUY,1.0
2026-05-30T22:24:10.297053,MSFT,Technology,sequential,openai,gpt-4.1,0.2,87.22,81.28,B,70.7,86.5,86.4,100.0,47.1,BUY,0.9473684210526315
2026-05-30T22:26:46.453712,JPM,Finance,sequential,openai,gpt-4.1,0.2,81.92,82.59,B,70.7,84.5,79.5,100.0,79.1,BUY,1.0
2026-05-30T22:28:55.789539,JPM,Finance,sequential,openai,gpt-4.1,0.2,79.11,79.87,B,70.7,92.5,82.2,70.0,86.4,BUY,1.0
2026-05-30T22:31:15.467073,JPM,Finance,sequential,openai,gpt-4.1,0.2,87.85,87.25,B,70.7,100,74.8,100.0,96.2,BUY,1.0
2026-05-30T22:33:26.743064,JPM,Finance,sequential,openai,gpt-4.1,0.2,71.96,87.09,B,70.7,100,76.5,100.0,91.2,BUY,1.0
2026-05-30T22:35:19.899378,JPM,Finance,sequential,openai,gpt-4.1,0.2,85.98,73.26,B,70.7,70.5,77.7,70.0,84.2,BUY,0.96
2026-05-30T22:37:58.309652,BAC,Finance,sequential,openai,gpt-4.1,0.2,86.31,83.78,B,72.0,100,77.4,100.0,53.0,BUY,0.9722222222222222
2026-05-30T22:40:02.534209,BAC,Finance,sequential,openai,gpt-4.1,0.2,75.5,83.46,B,72.0,100,78.0,100.0,48.5,BUY,1.0
2026-05-30T22:41:48.717772,BAC,Finance,sequential,openai,gpt-4.1,0.2,72.23,82.77,B,72.0,100,73.8,100.0,50.0,BUY,1.0
2026-05-30T22:43:39.137106,BAC,Finance,sequential,openai,gpt-4.1,0.2,72.42,81.29,B,69.3,100,72.6,100.0,44.4,BUY,0.9310344827586207
2026-05-30T22:45:29.644383,BAC,Finance,sequential,openai,gpt-4.1,0.2,104.23,81.87,B,70.7,100,71.0,100.0,50.0,BUY,1.0
2026-05-30T22:48:26.383496,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,85.4,77.57,B,70.7,96.0,77.5,70.0,64.0,BUY,1.0
2026-05-30T22:50:30.086489,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,103.55,71.36,B,70.7,68.5,80.4,70.0,65.0,HOLD,0.9523809523809523
2026-05-30T22:52:51.295327,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,76.32,68.36,C,72.0,55.0,76.7,70.0,72.7,BUY,1.0
2026-05-30T22:54:43.527100,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,81.51,81.69,B,72.0,87.0,80.6,85.0,88.1,BUY,0.8571428571428571
2026-05-30T22:56:46.507991,JNJ,Healthcare,sequential,openai,gpt-4.1,0.2,101.64,74.96,B,70.7,64.5,78.3,85.0,85.1,HOLD,1.0
2026-05-30T22:59:39.030752,PFE,Healthcare,sequential,openai,gpt-4.1,0.2,78.04,74.5,B,70.7,86.0,77.1,70.0,59.1,HOLD,0.9629629629629629
2026-05-30T23:01:33.018268,PFE,Healthcare,sequential,openai,gpt-4.1,0.2,87.81,69.94,C,69.3,62.5,80.0,70.0,69.8,HOLD,0.95
2026-05-30T23:05:06.118940,PFE,Healthcare,sequential,openai,gpt-4.1,0.2,97.54,72.58,B,70.7,64.5,74.9,85.0,68.1,HOLD,1.0
2026-05-30T23:07:27.321699,PFE,Healthcare,sequential,openai,gpt-4.1,0.2,90.19,71.78,B,70.7,71.0,80.1,70.0,63.4,HOLD,0.9655172413793104
2026-05-30T23:09:42.603470,PFE,Healthcare,sequential,openai,gpt-4.1,0.2,84.82,72.91,B,70.7,55.5,77.1,85.0,89.5,HOLD,1.0
2026-05-30T23:12:11.653512,XOM,Energy,sequential,openai,gpt-4.1,0.2,96.47,85.5,B,70.7,93.5,75.6,100.0,93.3,HOLD,0.967741935483871
2026-05-30T23:14:27.010156,XOM,Energy,sequential,openai,gpt-4.1,0.2,98.98,74.71,B,72.0,69.0,77.4,85.0,69.8,HOLD,0.9333333333333333
2026-05-30T23:16:41.507753,XOM,Energy,sequential,openai,gpt-4.1,0.2,82.21,84.41,B,70.7,97.5,83.0,85.0,87.7,HOLD,0.9615384615384616
2026-06-01T14:01:08.914738,WMT,Consumer Staples,sequential,openai,gpt-4.1,0.2,487.46,78.31,B,70.7,100,78.0,70.0,60.5,BUY,0.9473684210526315
2026-06-01T14:10:03.733176,WMT,Consumer Staples,sequential,openai,gpt-4.1,0.2,95.23,80.2,B,70.7,93.0,81.4,70.0,90.0,BUY,1.0
2026-06-01T14:12:19.507789,WMT,Consumer Staples,sequential,openai,gpt-4.1,0.2,103.7,71.35,B,72.0,68.5,79.4,70.0,63.4,HOLD,1.0
2026-06-01T14:14:43.592743,WMT,Consumer Staples,sequential,openai,gpt-4.1,0.2,103.95,73.59,B,70.7,77.5,78.1,70.0,69.4,HOLD,1.0
2026-06-01T14:17:15.152549,WMT,Consumer Staples,sequential,openai,gpt-4.1,0.2,106.34,79.55,B,70.7,93.0,84.7,70.0,76.9,HOLD,1.0
2026-06-01T14:20:01.166615,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,97.01,72.42,B,70.7,82.0,77.3,70.0,48.0,HOLD,1.0
2026-06-01T14:22:16.002612,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,116.79,81.08,B,70.7,90.0,78.9,100.0,51.3,HOLD,1.0
2026-06-01T14:24:46.337994,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,85.56,80.7,B,72.0,87.0,75.7,100.0,58.2,HOLD,0.9444444444444444
